"","yearly_id","position"
"351","1999_00-0009417","FB"
"352","1999_00-0009443","TE"
"353","1999_00-0009451","QB"
"354","1999_00-0009471","QB"
"355","1999_00-0009550","TE"
"356","1999_00-0009599","RB"
"357","1999_00-0009715","QB"
"358","1999_00-0009738","RB"
"359","1999_00-0009814","TE"
"360","1999_00-0009819","RB"
"361","1999_00-0009829","RB"
"362","1999_00-0009834","RB"
"363","1999_00-0009842","TE"
"364","1999_00-0009868","QB"
"365","1999_00-0009869","WR"
"366","1999_00-0009960","RB"
"367","1999_00-0010007","WR"
"368","1999_00-0010092","WR"
"369","1999_00-0010107","RB"
"370","1999_00-0010137","QB"
"371","1999_00-0010146","TE"
"372","1999_00-0010194","RB"
"373","1999_00-0010202","TE"
"374","1999_00-0010240","RB"
"375","1999_00-0010292","FB"
"376","1999_00-0010333","TE"
"377","1999_00-0010346","QB"
"378","1999_00-0010379","QB"
"379","1999_00-0010436","FB"
"380","1999_00-0010442","RB"
"381","1999_00-0010455","QB"
"382","1999_00-0010477","WR"
"383","1999_00-0010500","WR"
"384","1999_00-0010539","WR"
"385","1999_00-0010560","QB"
"386","1999_00-0010589","TE"
"387","1999_00-0010598","TE"
"388","1999_00-0010599","WR"
"389","1999_00-0010632","RB"
"390","1999_00-0010650","WR"
"391","1999_00-0010668","WR"
"392","1999_00-0010747","FB"
"393","1999_00-0010762","WR"
"394","1999_00-0010786","WR"
"395","1999_00-0010796","WR"
"396","1999_00-0010824","WR"
"397","1999_00-0010827","RB"
"398","1999_00-0010843","WR"
"399","1999_00-0010859","TE"
"400","1999_00-0010892","WR"
"401","1999_00-0010942","WR"
"402","1999_00-0010951","FB"
"403","1999_00-0010974","WR"
"404","1999_00-0010994","RB"
"405","1999_00-0011022","QB"
"406","1999_00-0011024","QB"
"407","1999_00-0011044","QB"
"408","1999_00-0011068","TE"
"409","1999_00-0011081","RB"
"410","1999_00-0011151","WR"
"411","1999_00-0011187","WR"
"412","1999_00-0011210","QB"
"413","1999_00-0011213","RB"
"414","1999_00-0011224","TE"
"415","1999_00-0011236","WR"
"416","1999_00-0011244","QB"
"417","1999_00-0011276","QB"
"418","1999_00-0011328","WR"
"419","1999_00-0011333","RB"
"420","1999_00-0011341","RB"
"421","1999_00-0011378","QB"
"422","1999_00-0011392","RB"
"423","1999_00-0011399","RB"
"424","1999_00-0011425","TE"
"425","1999_00-0011434","QB"
"426","1999_00-0011488","TE"
"427","1999_00-0011506","RB"
"428","1999_00-0011524","QB"
"429","1999_00-0011551","TE"
"430","1999_00-0011568","WR"
"431","1999_00-0011601","WR"
"432","1999_00-0011640","QB"
"433","1999_00-0011641","WR"
"434","1999_00-0011675","RB"
"435","1999_00-0011718","RB"
"436","1999_00-0011727","WR"
"437","1999_00-0011754","WR"
"438","1999_00-0011770","WR"
"439","1999_00-0011795","WR"
"440","1999_00-0011854","WR"
"441","1999_00-0011869","RB"
"442","1999_00-0011932","WR"
"443","1999_00-0011958","FB"
"444","1999_00-0012261","QB"
"445","1999_00-0012317","TE"
"446","1999_00-0012321","WR"
"447","1999_00-0012368","RB"
"448","1999_00-0012370","RB"
"449","1999_00-0012415","WR"
"450","1999_00-0012478","WR"
"451","1999_00-0012480","RB"
"452","1999_00-0012515","RB"
"453","1999_00-0012522","TE"
"454","1999_00-0012556","RB"
"455","1999_00-0012569","WR"
"456","1999_00-0012603","RB"
"457","1999_00-0012637","WR"
"458","1999_00-0012642","WR"
"459","1999_00-0012675","RB"
"460","1999_00-0012726","QB"
"461","1999_00-0012732","QB"
"462","1999_00-0012764","WR"
"463","1999_00-0012809","TE"
"464","1999_00-0012832","RB"
"465","1999_00-0012931","RB"
"466","1999_00-0012946","RB"
"467","1999_00-0012953","WR"
"468","1999_00-0012971","TE"
"469","1999_00-0013013","RB"
"470","1999_00-0013040","WR"
"471","1999_00-0013042","QB"
"472","1999_00-0013080","TE"
"473","1999_00-0013097","WR"
"474","1999_00-0013173","RB"
"475","1999_00-0013176","WR"
"476","1999_00-0013214","WR"
"477","1999_00-0013232","WR"
"478","1999_00-0013243","RB"
"479","1999_00-0013258","WR"
"480","1999_00-0013262","RB"
"481","1999_00-0013268","WR"
"482","1999_00-0013298","TE"
"483","1999_00-0013308","TE"
"484","1999_00-0013338","QB"
"485","1999_00-0013341","QB"
"486","1999_00-0013422","TE"
"487","1999_00-0013498","RB"
"488","1999_00-0013499","WR"
"489","1999_00-0013512","WR"
"490","1999_00-0013523","WR"
"491","1999_00-0013622","RB"
"492","1999_00-0013639","WR"
"493","1999_00-0013694","FB"
"494","1999_00-0013695","QB"
"495","1999_00-0013712","WR"
"496","1999_00-0013728","TE"
"497","1999_00-0013770","WR"
"498","1999_00-0013773","RB"
"499","1999_00-0013785","RB"
"500","1999_00-0013792","TE"
"501","1999_00-0013872","TE"
"502","1999_00-0013888","WR"
"503","1999_00-0013933","WR"
"504","1999_00-0013958","WR"
"505","1999_00-0014211","TE"
"506","1999_00-0014256","RB"
"507","1999_00-0014265","FB"
"508","1999_00-0014319","WR"
"509","1999_00-0014328","WR"
"510","1999_00-0014344","WR"
"511","1999_00-0014348","WR"
"512","1999_00-0014350","TE"
"513","1999_00-0014384","QB"
"514","1999_00-0014450","FB"
"515","1999_00-0014489","WR"
"516","1999_00-0014544","WR"
"517","1999_00-0014655","TE"
"518","1999_00-0014712","WR"
"519","1999_00-0014722","TE"
"520","1999_00-0014729","WR"
"521","1999_00-0014733","RB"
"522","1999_00-0014742","RB"
"523","1999_00-0014753","WR"
"524","1999_00-0014759","RB"
"525","1999_00-0014775","FB"
"526","1999_00-0014790","WR"
"527","1999_00-0014809","FB"
"528","1999_00-0014918","WR"
"529","1999_00-0014977","TE"
"530","1999_00-0015048","TE"
"531","1999_00-0015053","TE"
"532","1999_00-0015063","WR"
"533","1999_00-0015082","QB"
"534","1999_00-0015091","RB"
"535","1999_00-0015152","RB"
"536","1999_00-0015153","TE"
"537","1999_00-0015161","TE"
"538","1999_00-0015165","RB"
"539","1999_00-0015195","TE"
"540","1999_00-0015218","WR"
"541","1999_00-0015242","RB"
"542","1999_00-0015286","RB"
"543","1999_00-0015290","WR"
"544","1999_00-0015309","RB"
"545","1999_00-0015331","WR"
"546","1999_00-0015362","FB"
"547","1999_00-0015420","FB"
"548","1999_00-0015452","FB"
"549","1999_00-0015507","WR"
"550","1999_00-0015523","RB"
"551","1999_00-0015627","QB"
"552","1999_00-0015655","RB"
"553","1999_00-0015698","RB"
"554","1999_00-0015700","QB"
"555","1999_00-0015723","WR"
"556","1999_00-0015751","WR"
"557","1999_00-0015754","WR"
"558","1999_00-0015759","WR"
"559","1999_00-0015811","WR"
"560","1999_00-0015830","RB"
"561","1999_00-0015970","TE"
"562","1999_00-0016098","RB"
"563","1999_00-0016193","QB"
"564","1999_00-0016205","WR"
"565","1999_00-0016214","WR"
"566","1999_00-0016232","WR"
"567","1999_00-0016289","WR"
"568","1999_00-0016296","TE"
"569","1999_00-0016316","FB"
"570","1999_00-0016321","RB"
"571","1999_00-0016331","RB"
"572","1999_00-0016347","TE"
"573","1999_00-0016371","RB"
"574","1999_00-0016373","WR"
"575","1999_00-0016440","WR"
"576","1999_00-0016534","QB"
"577","1999_00-0016538","QB"
"578","1999_00-0016550","WR"
"579","1999_00-0016654","WR"
"580","1999_00-0016677","TE"
"581","1999_00-0016716","WR"
"582","1999_00-0016723","FB"
"583","1999_00-0016811","WR"
"584","1999_00-0016821","WR"
"585","1999_00-0016837","WR"
"586","1999_00-0016838","QB"
"587","1999_00-0016842","FB"
"588","1999_00-0016931","RB"
"589","1999_00-0016993","TE"
"590","1999_00-0017027","TE"
"591","1999_00-0017109","TE"
"592","1999_00-0017110","WR"
"593","1999_00-0017121","QB"
"594","1999_00-0017160","WR"
"595","1999_00-0017162","WR"
"596","1999_00-0017200","QB"
"597","1999_00-0017209","RB"
"598","1999_00-0017218","RB"
"599","1999_00-0017301","RB"
"600","1999_00-0017303","RB"
"601","1999_00-0017322","RB"
"602","1999_00-0017337","FB"
"603","1999_00-0017356","TE"
"604","1999_00-0017415","QB"
"605","1999_00-0017470","WR"
"606","1999_00-0017480","TE"
"607","1999_00-0017486","RB"
"608","1999_00-0017611","WR"
"609","1999_00-0017662","TE"
"610","1999_00-0017697","WR"
"611","1999_00-0017829","RB"
"612","1999_00-0017847","WR"
"613","1999_00-0017860","WR"
"614","1999_00-0017892","RB"
"615","1999_00-0017896","FB"
"616","1999_00-0017922","WR"
"617","1999_00-0017924","TE"
"618","1999_00-0017932","RB"
"619","1999_00-0018056","WR"
"620","1999_00-0018062","WR"
"621","1999_00-0018073","QB"
"622","1999_00-0018141","FB"
"623","1999_00-0018272","QB"
"624","1999_00-0018333","QB"
"625","1999_00-0018343","TE"
"626","1999_00-0018382","WR"
"627","1999_00-0018441","QB"
"628","1999_00-0018483","QB"
"629","1999_00-0018486","TE"
"630","1999_00-0018501","RB"
"631","1999_00-0018518","QB"
"632","1999_00-0018578","TE"
"633","1999_00-0018589","QB"
"634","1999_00-0018608","TE"
"635","1999_00-0019454","WR"
"636","1999_NA","QB"
"637","2000_00-0000003","RB"
"638","2000_00-0000007","RB"
"639","2000_00-0000104","QB"
"640","2000_00-0000145","WR"
"641","2000_00-0000166","TE"
"642","2000_00-0000210","RB"
"643","2000_00-0000232","RB"
"644","2000_00-0000242","TE"
"645","2000_00-0000251","FB"
"646","2000_00-0000279","RB"
"647","2000_00-0000316","RB"
"648","2000_00-0000339","FB"
"649","2000_00-0000387","WR"
"650","2000_00-0000534","RB"
"651","2000_00-0000552","FB"
"652","2000_00-0000598","WR"
"653","2000_00-0000627","WR"
"654","2000_00-0000722","QB"
"655","2000_00-0000727","TE"
"656","2000_00-0000745","RB"
"657","2000_00-0000765","WR"
"658","2000_00-0000781","RB"
"659","2000_00-0000849","TE"
"660","2000_00-0000856","RB"
"661","2000_00-0000865","QB"
"662","2000_00-0000869","WR"
"663","2000_00-0000871","RB"
"664","2000_00-0000872","RB"
"665","2000_00-0000883","TE"
"666","2000_00-0000911","TE"
"667","2000_00-0000942","FB"
"668","2000_00-0001102","FB"
"669","2000_00-0001112","RB"
"670","2000_00-0001218","QB"
"671","2000_00-0001224","RB"
"672","2000_00-0001255","TE"
"673","2000_00-0001272","QB"
"674","2000_00-0001281","TE"
"675","2000_00-0001317","WR"
"676","2000_00-0001335","QB"
"677","2000_00-0001361","QB"
"678","2000_00-0001477","WR"
"679","2000_00-0001532","WR"
"680","2000_00-0001545","QB"
"681","2000_00-0001582","WR"
"682","2000_00-0001627","WR"
"683","2000_00-0001661","TE"
"684","2000_00-0001719","WR"
"685","2000_00-0001766","TE"
"686","2000_00-0001783","WR"
"687","2000_00-0001785","QB"
"688","2000_00-0001810","QB"
"689","2000_00-0001823","QB"
"690","2000_00-0001842","WR"
"691","2000_00-0001848","WR"
"692","2000_00-0001862","TE"
"693","2000_00-0001907","QB"
"694","2000_00-0001919","TE"
"695","2000_00-0001986","TE"
"696","2000_00-0002005","WR"
"697","2000_00-0002027","FB"
"698","2000_00-0002058","WR"
"699","2000_00-0002068","WR"
"700","2000_00-0002099","WR"
"701","2000_00-0002102","TE"
"702","2000_00-0002110","QB"
"703","2000_00-0002159","RB"
"704","2000_00-0002266","WR"
"705","2000_00-0002380","TE"
"706","2000_00-0002459","RB"
"707","2000_00-0002469","WR"
"708","2000_00-0002544","WR"
"709","2000_00-0002565","TE"
"710","2000_00-0002586","TE"
"711","2000_00-0002709","TE"
"712","2000_00-0002713","FB"
"713","2000_00-0002721","WR"
"714","2000_00-0002787","QB"
"715","2000_00-0002846","FB"
"716","2000_00-0002850","TE"
"717","2000_00-0002861","TE"
"718","2000_00-0002873","RB"
"719","2000_00-0002876","QB"
"720","2000_00-0002930","QB"
"721","2000_00-0002942","WR"
"722","2000_00-0002962","WR"
"723","2000_00-0002970","FB"
"724","2000_00-0003035","TE"
"725","2000_00-0003039","TE"
"726","2000_00-0003103","TE"
"727","2000_00-0003136","RB"
"728","2000_00-0003142","TE"
"729","2000_00-0003175","WR"
"730","2000_00-0003266","TE"
"731","2000_00-0003292","QB"
"732","2000_00-0003315","QB"
"733","2000_00-0003344","FB"
"734","2000_00-0003378","WR"
"735","2000_00-0003396","WR"
"736","2000_00-0003400","TE"
"737","2000_00-0003441","WR"
"738","2000_00-0003535","QB"
"739","2000_00-0003557","QB"
"740","2000_00-0003600","QB"
"741","2000_00-0003663","RB"
"742","2000_00-0003681","TE"
"743","2000_00-0003700","WR"
"744","2000_00-0003739","QB"
"745","2000_00-0003761","QB"
"746","2000_00-0003803","TE"
"747","2000_00-0003819","QB"
"748","2000_00-0003944","WR"
"749","2000_00-0004004","TE"
"750","2000_00-0004052","RB"
"751","2000_00-0004054","RB"
"752","2000_00-0004055","WR"
"753","2000_00-0004063","TE"
"754","2000_00-0004077","WR"
"755","2000_00-0004161","QB"
"756","2000_00-0004172","TE"
"757","2000_00-0004200","RB"
"758","2000_00-0004229","QB"
"759","2000_00-0004230","QB"
"760","2000_00-0004293","QB"
"761","2000_00-0004294","TE"
"762","2000_00-0004386","WR"
"763","2000_00-0004463","WR"
"764","2000_00-0004495","RB"
"765","2000_00-0004508","TE"
"766","2000_00-0004524","TE"
"767","2000_00-0004527","QB"
"768","2000_00-0004541","WR"
"769","2000_00-0004574","TE"
"770","2000_00-0004595","RB"
"771","2000_00-0004633","WR"
"772","2000_00-0004634","WR"
"773","2000_00-0004637","TE"
"774","2000_00-0004640","RB"
"775","2000_00-0004673","WR"
"776","2000_00-0004694","WR"
"777","2000_00-0004752","RB"
"778","2000_00-0004768","FB"
"779","2000_00-0004774","RB"
"780","2000_00-0004780","WR"
"781","2000_00-0004888","WR"
"782","2000_00-0004915","WR"
"783","2000_00-0004916","RB"
"784","2000_00-0004972","RB"
"785","2000_00-0005091","RB"
"786","2000_00-0005092","RB"
"787","2000_00-0005101","TE"
"788","2000_00-0005106","QB"
"789","2000_00-0005110","RB"
"790","2000_00-0005180","QB"
"791","2000_00-0005229","RB"
