,yearly_id,full_name,position,lw,lw_June_01,difference,lw_edit,ZR_Rankings_Manual,ZR_manual_boost
266,2022_00-0033950,Wayne Gallman,RB,0.7,0.7,0,0.7,,
268,2022_00-0036991,Amari Rodgers,WR,0.7,0.7,0,0.7,,
269,2022_00-0027944,Julio Jones,WR,0.6,0.7,0.1,0.7,,
394,2022_00-0032392,Austin Hooper,TE,0.3,0.7,0.4,0.7,,
213,2022_00-0036556,Brevin Jordan,TE,1.2,0.6,-0.6,0.6,,
238,2022_00-0032134,C.J. Uzomah,TE,0.9,0.6,-0.3,0.6,,
251,2022_00-0031235,Odell Beckham,WR,0.8,0.6,-0.2,0.6,,
252,2022_00-0033127,William Fuller,WR,0.8,0.6,-0.2,0.6,,
272,2022_00-0036297,Darrynton Evans,RB,0.6,0.6,0,0.6,,
279,2022_00-0036626,Dyami Brown,WR,0.6,0.6,0,0.6,,
280,2022_00-0033556,Tarik Cohen,RB,0.6,0.6,0,0.6,,
282,2022_00-0036183,Kristian Wilkerson,WR,0.6,0.6,0,0.6,,
283,2022_00-0034867,Malik Turner,WR,0.6,0.6,0,0.6,,
304,2022_00-0030288,Rex Burkhead,RB,0.5,0.6,0.1,0.6,,
332,2022_00-0034970,Irv Smith,TE,0.5,0.6,0.1,0.6,,
337,2022_00-0036255,Denzel Mims,WR,0.5,0.6,0.1,0.6,,
420,2022_00-0036345,K.J. Osborn,WR,0.3,0.6,0.3,0.6,,
220,2022_Erik Ezukanma,Erik Ezukanma,WR,1.1,0.5,-0.6,0.5,,
290,2022_Romeo Doubs,Romeo Doubs,WR,0.5,0.5,0,0.5,,
291,2022_Velus Jones,Velus Jones,WR,0.5,0.5,0,0.5,,
292,2022_Khalil Shakir,Khalil Shakir,WR,0.5,0.5,0,0.5,,
293,2022_Tyquan Thornton,Tyquan Thornton,WR,0.5,0.5,0,0.5,,
294,2022_Calvin Austin,Calvin Austin,WR,0.5,0.5,0,0.5,,
295,2022_Danny Gray,Danny Gray,WR,0.5,0.5,0,0.5,,
296,2022_Kyle Philips,Kyle Philips,WR,0.5,0.5,0,0.5,,
297,2022_Samori Toure,Samori Toure,WR,0.5,0.5,0,0.5,,
298,2022_Jalen Nailor,Jalen Nailor,WR,0.5,0.5,0,0.5,,
299,2022_Bo Melton,Bo Melton,WR,0.5,0.5,0,0.5,,
300,2022_Montrell Washington,Montrell Washington,WR,0.5,0.5,0,0.5,,
301,2022_Michael Woods,Michael Woods,WR,0.5,0.5,0,0.5,,
302,2022_Dareke Young,Dareke Young,WR,0.5,0.5,0,0.5,,
305,2022_00-0026189,DeSean Jackson,WR,0.5,0.5,0,0.5,,
306,2022_00-0033895,Gerald Everett,TE,0.5,0.5,0,0.5,,
310,2022_00-0033879,O.J. Howard,TE,0.5,0.5,0,0.5,,
312,2022_00-0035628,D'Ernest Johnson,RB,0.5,0.5,0,0.5,,
314,2022_Pierre Strong,Pierre Strong,RB,0.5,0.5,0,0.5,,
315,2022_Kyren Williams,Kyren Williams,RB,0.5,0.5,0,0.5,,
316,2022_Snoop Conner,Snoop Conner,RB,0.5,0.5,0,0.5,,
317,2022_Kevin Harris,Kevin Harris,RB,0.5,0.5,0,0.5,,
318,2022_Tyler Badie,Tyler Badie,RB,0.5,0.5,0,0.5,,
319,2022_Jerome Ford,Jerome Ford,RB,0.5,0.5,0,0.5,,
320,2022_Isaih Pacheco,Isaih Pacheco,RB,0.5,0.5,0,0.5,,
321,2022_Ty Chandler,Ty Chandler,RB,0.5,0.5,0,0.5,,
322,2022_Trestan Ebner,Trestan Ebner,RB,0.5,0.5,0,0.5,,
323,2022_Brittain Brown,Brittain Brown,RB,0.5,0.5,0,0.5,,
324,2022_Zander Horvath,Zander Horvath,RB,0.5,0.5,0,0.5,,
330,2022_00-0036620,Dee Eskridge,WR,0.5,0.5,0,0.5,,
333,2022_00-0036269,La'Mical Perine,RB,0.5,0.5,0,0.5,,
336,2022_00-0033090,Hunter Henry,TE,0.5,0.5,0,0.5,,
338,2022_00-0030496,Le'Veon Bell,RB,0.5,0.5,0,0.5,,
343,2022_00-0033943,Josh Reynolds,WR,0.4,0.5,0.1,0.5,,
