"","yearly_id","position","fantasy_pos"
"20259","2021_00-0030496","RB","rusher"
"20260","2021_00-0033879","TE","receiver"
"20261","2021_00-0031273","TE","receiver"
"20262","2021_00-0027656","TE","receiver"
"20263","2021_00-0034735","TE","receiver"
"20264","2021_00-0029738","TE","receiver"
"20265","2021_00-0036104","WR","receiver"
"20266","2021_00-0033215","WR","receiver"
"20267","2021_00-0033921","WR","receiver"
"20268","2021_00-0031051","WR","receiver"
"20269","2021_00-0034631","WR","receiver"
"20270","2021_00-0036676","WR","receiver"
"20271","2021_00-0036047","WR","receiver"
"20272","2021_00-0036427","WR","receiver"
"20273","2021_00-0032054","WR","receiver"
"20274","2021_00-0031408","WR","receiver"
"20275","2021_00-0036877","WR","receiver"
"20276","2021_00-0035298","WR","receiver"
"20277","2021_00-0035099","FB","rusher"
"20278","2021_00-0036691","FB","rusher"
"20279","2021_00-0029701","QB","passer"
"20280","2021_00-0032784","QB","passer"
"20281","2021_00-0034438","QB","passer"
"20282","2021_00-0036297","RB","rusher"
"20283","2021_00-0034253","RB","rusher"
"20284","2021_00-0034400","RB","rusher"
"20285","2021_00-0033955","RB","rusher"
"20286","2021_00-0032764","RB","rusher"
"20287","2021_00-0033925","RB","rusher"
"20288","2021_00-0031585","TE","receiver"
"20289","2021_00-0032141","TE","receiver"
"20290","2021_00-0036696","TE","receiver"
"20291","2021_00-0033455","TE","receiver"
"20292","2021_00-0034611","TE","receiver"
"20293","2021_00-0036173","TE","receiver"
"20294","2021_00-0034932","TE","receiver"
"20295","2021_00-0034439","TE","receiver"
"20296","2021_00-0034652","WR","receiver"
"20297","2021_00-0033859","WR","receiver"
"20298","2021_00-0034243","WR","receiver"
"20299","2021_00-0027944","WR","receiver"
"20300","2021_00-0032355","WR","receiver"
"20301","2021_00-0035676","WR","receiver"
"20302","2021_00-0032980","WR","receiver"
"20303","2021_00-0036182","WR","receiver"
"20304","2021_00-0036652","WR","receiver"
"20305","2021_00-0033386","WR","receiver"
"20306","2021_00-0036627","WR","receiver"
"20307","2021_00-0036176","WR","receiver"
"20308","2021_00-0033296","FB","rusher"
"20309","2021_00-0031800","QB","passer"
"20310","2021_00-0034577","QB","passer"
"20311","2021_00-0023682","QB","passer"
"20312","2021_00-0031395","QB","passer"
"20313","2021_00-0032602","RB","rusher"
"20314","2021_00-0034578","RB","rusher"
"20315","2021_00-0032782","RB","rusher"
"20316","2021_00-0032975","RB","rusher"
"20317","2021_00-0036328","RB","rusher"
"20318","2021_00-0036755","RB","rusher"
"20319","2021_00-0036474","TE","receiver"
"20320","2021_00-0033611","TE","receiver"
"20321","2021_00-0031260","TE","receiver"
"20322","2021_00-0034409","TE","receiver"
"20323","2021_00-0036628","TE","receiver"
"20324","2021_00-0033112","TE","receiver"
"20325","2021_00-0036340","WR","receiver"
"20326","2021_00-0031763","WR","receiver"
"20327","2021_00-0036671","WR","receiver"
